Eselon 1,Tempat tinggal,hari bekerja non WFH per bulannya,hari ideal bekerja non WFH seminggu,Lokasi melaksanakan WFH,lama bekerja ketika WFH sehari,jumlah rapat online paralel (multi zoom) sehari,improve-gaya komunikasi atasan,improve-sarana prasarana pendukung kerja,improve-pengaturan jam kerja,improve-beban kerja,improve-pengelolaan kinerja pegawai,adv-manajemen keuangan lebih baik,adv-fokus meningkatkan kompetensi,adv-kesempatan belajar,adv-hubungan dg rekan kerja lebih baik,adv-komunikasi dg keluarga dekat lebih baik,adv-quality time dg keluarga inti,adv-terlibat dengan komunitas,adv-lebih mengenal lingkungan tempat tinggal,adv-waktu menekuni hobi,adv-kualitas ibadah / kehidupan spiritual,adv-pola hidup lebih sehat,harapan peningkatan implementasi FWS,gender,age,masa_kerja_tahun,masa_kerja_bulan,kode_wilayah_ktp
Sekretariat Jenderal,Kontrak,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Netral,Sangat Setuju,Netral,Semoga dengan implementasi FWS dapat mengurangi kemacetan di ibukota,pria,38,11,0,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Supaya dapat bekerja lebih baik lagi,pria,52,22,9,
,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,,pria,31,5,9,327605
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,4 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,semoga dapat diimplementasikan dengan baik,pria,30,8,1,
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,3 hari,Satelite Office  ,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,--,pria,54,31,1,737114
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Dapat diimplementasikan secara konsisten.,pria,39,12,11,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Sangat Setuju,Netral,Setuju,Sangat Setuju,Setuju,Setuju,-,pria,34,14,1,
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,karena pekerjaan saya dapat dilaksanakan secara remote pengaturan FWS memang dibutuhkan dan bermanfaat,wanita,27,2,10,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,demgam adanya FWS ini akan lebih baik lagi,pria,55,22,9,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,lebih ditingkatkan,pria,54,22,9,
